GPQLBM Resource and Error Scaling — Airbus TGV Submission
"Calibration inherited from prior validation (200+ jobs, 100+ qubit superconducting hardware, multiple scientific application domains)"

Calibration constants
CX per cell per Trotter step,40
CX per bond per Trotter step,12
Qubits per cell,6
Gauge pass rate per cell,0.86
Shots per submission,1000

Reynolds-required grid resolution (primary resource projection)
Re,N_required,qubits,timesteps_to_t1s,CX_per_step,total_CX,L2_total
10,8,384,3,4096,12288,6.4226e-01
100,20,2400,4,25600,102400,4.5797e-01
1000,63,23814,12,254016,3048192,1.4088e+00
10000,200,240000,37,2560000,94720000,4.4721e+00

"Full resource table across (Re, N)"
Re,N,cells,qubits,dt,timesteps_to_t1s,CX_per_step,total_CX
10,4,16,96,1.3603,1,1024,1024
10,6,36,216,0.8727,2,2304,4608
10,8,64,384,0.4909,3,4096,12288
10,12,144,864,0.2182,5,9216,46080
10,16,256,1536,0.1227,9,16384,147456
10,24,576,3456,0.0545,19,36864,700416
10,32,1024,6144,0.0307,33,65536,2162688
10,48,2304,13824,0.0136,74,147456,10911744
10,64,4096,24576,0.0077,131,262144,34340864
100,4,16,96,1.3603,1,1024,1024
100,6,36,216,0.9069,2,2304,4608
100,8,64,384,0.6802,2,4096,8192
100,12,144,864,0.4534,3,9216,27648
100,16,256,1536,0.3401,3,16384,49152
100,24,576,3456,0.2267,5,36864,184320
100,32,1024,6144,0.1700,6,65536,393216
100,48,2304,13824,0.1134,9,147456,1327104
100,64,4096,24576,0.0767,14,262144,3670016
1000,4,16,96,1.3603,1,1024,1024
1000,6,36,216,0.9069,2,2304,4608
1000,8,64,384,0.6802,2,4096,8192
1000,12,144,864,0.4534,3,9216,27648
1000,16,256,1536,0.3401,3,16384,49152
1000,24,576,3456,0.2267,5,36864,184320
1000,32,1024,6144,0.1700,6,65536,393216
1000,48,2304,13824,0.1134,9,147456,1327104
1000,64,4096,24576,0.0850,12,262144,3145728

"Full error table across (Re, N)"
Re,N,L2_discretization,L2_hardware,L2_total,KE_relative_error
10,4,2.4674e+00,8.9443e-02,2.4690e+00,4.7458
10,6,1.0966e+00,1.3416e-01,1.1048e+00,2.1236
10,8,6.1685e-01,1.7889e-01,6.4226e-01,1.2345
10,12,2.7416e-01,2.6833e-01,3.8362e-01,0.7374
10,16,1.5421e-01,3.5777e-01,3.8959e-01,0.7489
10,24,6.8539e-02,5.3666e-01,5.4102e-01,1.0399
10,32,3.8553e-02,7.1554e-01,7.1658e-01,1.3774
10,48,1.7135e-02,1.0733e+00,1.0734e+00,2.0633
10,64,9.6383e-03,1.4311e+00,1.4311e+00,2.7508
100,4,2.4674e+00,8.9443e-02,2.4690e+00,3.5554
100,6,1.0966e+00,1.3416e-01,1.1048e+00,1.5909
100,8,6.1685e-01,1.7889e-01,6.4226e-01,0.9249
100,12,2.7416e-01,2.6833e-01,3.8362e-01,0.5524
100,16,1.5421e-01,3.5777e-01,3.8959e-01,0.5610
100,24,6.8539e-02,5.3666e-01,5.4102e-01,0.7791
100,32,3.8553e-02,7.1554e-01,7.1658e-01,1.0319
100,48,1.7135e-02,1.0733e+00,1.0734e+00,1.5458
100,64,9.6383e-03,1.4311e+00,1.4311e+00,2.0608
1000,4,2.4674e+00,8.9443e-02,2.4690e+00,3.3195
1000,6,1.0966e+00,1.3416e-01,1.1048e+00,1.4854
1000,8,6.1685e-01,1.7889e-01,6.4226e-01,0.8635
1000,12,2.7416e-01,2.6833e-01,3.8362e-01,0.5158
1000,16,1.5421e-01,3.5777e-01,3.8959e-01,0.5238
1000,24,6.8539e-02,5.3666e-01,5.4102e-01,0.7274
1000,32,3.8553e-02,7.1554e-01,7.1658e-01,0.9634
1000,48,1.7135e-02,1.0733e+00,1.0734e+00,1.4432
1000,64,9.6383e-03,1.4311e+00,1.4311e+00,1.9241
